zone_key,event_count,transformer_events,line_events,avg_transformer_capacity_mva,avg_line_capacity_kv,avg_ev_distance_km,lat,lon,dominant_resource,mean_load_2024_mw,mean_stress,mean_predicted_ev_mw,graph_degree,graph_betweenness
Exora,10,0,10,,112.2,1.6297264429999998,12.9379879,77.6972865,thermal,,,,2,0.0
GULBARGA,1208,499,707,,126.7015558698727,,,,thermal,,,,100,0.1979139388473236
Gabbur,14,1,13,,110.0,56.56254912000001,16.2989028,77.15125909999999,thermal,,,,1,0.0
Gadag,186,43,143,14.210526315789474,150.76923076923077,120.2441931,15.416571899999997,75.6036712,thermal,,,,4,0.0
Gajendragad,111,26,85,16.153846153846153,110.0,123.7811042,15.7319109,75.9925285,thermal,,,,3,0.0
Galaga,19,0,19,,110.0,70.01094908,16.2551225,76.8293582,thermal,,,,1,0.0
Gamesha Ron,4,0,4,,110.0,130.7802359,15.6370696,75.7424483,thermal,,,,2,0.0
Ganadala,1,0,1,,110.0,143.3052555,15.6550773,76.3052193,thermal,,,,1,0.0
Gandasi,15,1,14,,110.0,56.73146865,13.1599546,76.3039765,thermal,,,,1,0.0
Gangavathi Sub Station,2,0,2,,110.0,159.0909579,15.5407482,76.4520333,thermal,,,,1,0.0
Ganjigunte,49,0,49,,66.0,43.83257646,13.4908086,77.9781184,thermal,,,,4,0.0
Gem Sugars,1,1,0,,,64.1550442,16.2640349,75.5302791,thermal,,,,1,0.0
Gerusoppa,1,0,1,,220.0,45.15156651,14.2516604,74.6751354,hydro,,,,1,0.0
Ghataprabha,171,22,149,14.090909090909092,143.2214765100671,44.14016085,16.2350664,74.7918742,thermal,,,,4,0.0
Girisagar,1,0,1,,110.0,51.47588232,16.3503655,75.6962964,hydro,,,,1,0.0
Giriyapura,15,5,10,,66.0,102.9264017,14.8803342,75.7614259,thermal,,,,3,0.0
Godur,8,0,8,,66.0,24.66194526,12.6684764,77.5365995,thermal,,,,3,0.0005061851099231166
Gokak,51,29,22,19.310344827586206,105.5,42.15964986,16.1612844,74.8407285,thermal,,,,4,0.0
Gokula,11,0,11,,66.0,2.268505454,13.044173900000002,77.5538825,thermal,,,,2,0.0
Golf Links Substation,29,0,29,,66.0,2.269423171,12.9537098,77.6413638,thermal,,,,3,0.0
Gopankoppa,84,3,81,13.333333333333334,110.0,89.4641598,15.3793028,75.1395548,thermal,,,,4,0.0
Gubbi,6,0,6,,220.0,42.18464272,13.3168845,76.937274,thermal,,,,2,0.0
Guddadahalli,5,0,5,,400.0,172.3721084,15.3628601,76.2861421,thermal,,,,3,0.04101547048794698
Guddenahalli,11,0,11,,66.0,28.36273826,12.7226626,76.7109143,thermal,,,,1,0.0
Gudekote,35,3,32,,70.8125,193.7487518,14.8282948,76.6307872,thermal,,,,5,0.0035219791274151927
Gudibanda,5,0,5,,66.0,52.68346604,13.671078099999999,77.6994318,thermal,,,,2,0.0
Gulbarga,88,87,1,,220.0,54.83459929,17.3593776,76.8393951,thermal,,,,4,0.0
Gulbarga South,1,0,1,,110.0,49.99783307,17.3109938,76.8304447,thermal,,,,1,0.0
Gulbarga West,3,1,2,,110.0,54.53944604,17.3451108,76.8034774,thermal,,,,2,0.0012039689713556959
Guledagudda,23,20,3,13.5,110.0,83.69347266,16.0654907,75.8081606,thermal,,,,2,0.0
Gundlupet,19,0,19,,66.0,89.58099697,11.833832,76.675702,thermal,,,,2,0.0
Gurgunta,4,0,4,,110.0,78.31640657,16.2736685,76.6213993,thermal,,,,1,0.0
Gurupura,27,0,27,,110.0,15.536849300000002,12.9474148,74.922424,thermal,,,,3,0.0002984148018394592
Guruvayanakere,2,2,0,,,48.85351837,12.9904997,75.2442092,hydro,,,,1,0.0
Guttal,99,23,76,17.82608695652174,110.0,87.93095818,14.8402022,75.6281756,thermal,,,,3,0.0
Guttur New,70,3,66,163.75,213.84848484848484,105.9220002,14.5498407,75.8228495,thermal,,,,3,0.0
HAL Substation,8,1,7,,66.0,2.399305898,12.9686272,77.6622395,thermal,,,,2,0.0
HASAN,715,330,385,,130.82077922077923,,,,thermal,,,,36,0.061469574579846996
HASSAN,6153,2560,3517,12.5,116.66704577765141,,,,thermal,,,,77,0.14194550425036723
HASSAN LINE,412,0,411,,113.21167883211679,,,,thermal,,,,30,0.03491841059146175
HASSAN TRANSFORMER,239,214,9,,90.44444444444444,,,,thermal,,,,9,0.026076014785900038
HBR Layout,11,0,11,,80.0,1.513083948,13.0299995,77.6277988,thermal,,,,1,0.0
HMT,19,0,19,,66.0,2.404209724,13.0502974,77.5471452,thermal,,,,4,0.00402816423733831
HSR Layout Substation,4,0,4,,66.0,1.410585962,12.9022267,77.6495638,thermal,,,,1,0.0
Hadavanahalli,11,1,10,100.0,112.2,55.281778030000005,12.843026299999998,76.2943879,thermal,,,,3,0.0
Hagare,8,0,8,,66.0,88.81837401,13.1328934,75.9866178,thermal,,,,1,0.0
Halagur,23,2,21,,66.0,38.85234679,12.4260522,77.2442946,thermal,,,,2,0.0
Halavarti,3,0,3,,110.0,165.9016364,15.307070099999999,76.2147776,thermal,,,,1,0.0
Halbarga,28,3,25,,123.2,113.9656482,17.9126622,77.3678013,thermal,,,,3,0.0
Halkurike,1,0,1,,66.0,55.70992099,13.3657575,76.4780103,thermal,,,,1,0.0
Haluvagilu,3,3,0,56.25,,102.1057991,14.7137592,75.7862489,thermal,,,,2,0.0028255863872302224
Halyal,31,15,16,12.666666666666666,110.0,73.2120748,15.3129406,74.7711488,thermal,,,,3,0.0
Hampapura,109,1,108,,66.4074074074074,93.96135402000002,12.1215937,76.47171749999998,thermal,,,,3,0.0
Hampasagara,2,1,1,,66.0,138.6749834,15.1154384,76.0276662,thermal,,,,2,0.0466592829119723
Hanagal,44,31,13,18.70967741935484,72.76923076923077,196.69454780000004,14.7330795,76.6999148,thermal,,,,5,0.018956006225164662
Hanagodu,23,1,22,,66.0,92.96469109,12.2483813,76.1890592,thermal,,,,3,0.0
Hanamasagara,8,1,7,12.5,88.0,111.9521564,15.8622516,76.0611706,thermal,,,,1,0.0
Hanawala,22,0,22,,110.0,156.7102443,15.5202084,76.547284,thermal,,,,1,0.0
Hanbal,60,0,60,,66.0,98.62414794,13.0048264,75.703996,thermal,,,,2,0.0
Handanakere,25,3,22,15.0,215.0,69.05910206,13.5009152,76.4638883,thermal,,,,1,0.0
Hangal,35,18,17,15.76923076923077,80.23529411764706,35.21604214,14.788144499999998,75.1218081,thermal,,,,7,0.059819441555411586
Hangala,11,0,11,,66.0,81.87081107,11.7443244,76.6421175,thermal,,,,1,0.0
Harave,11,1,10,,66.0,107.7628219,11.9355396,76.8176253,thermal,,,,2,0.0
Hariyabbe,90,11,75,9.8,89.85915492957747,121.337202,14.0572802,76.8093009,thermal,,,,3,0.0
Harohalli,1,0,1,,66.0,17.25144413,12.6722317,77.4576744,thermal,,,,1,0.0
Hassan,176,1,174,,87.25287356321839,64.58641184,12.991909600000001,76.1930286,thermal,,,,6,0.020948364620981538
Hattaragi,29,14,15,17.857142857142858,110.0,23.74109187,16.1418516,74.5159197,thermal,,,,4,0.0
Haveri,213,0,213,,269.85915492957747,62.19599979,14.8008744,75.3903124,thermal,,,,6,0.0
Hebbal Substation,72,7,65,,167.87692307692308,3.6209118319999996,13.0305136,77.5823758,thermal,,,,5,0.0
Hebbani,216,1,215,,98.23255813953489,51.9156199,12.3392708,77.134476,thermal,,,,6,0.005600332581279613
Hebburu,1,0,1,,66.0,33.36876164,13.1519425,77.0305193,thermal,,,,1,0.0
Heggunje,10,0,10,,154.0,55.47960448,13.506124599999998,74.8370879,thermal,,,,2,0.0
Hidakal,13,9,4,18.88888888888889,110.0,73.07866405,16.4539067,74.9405671,thermal,,,,2,0.0
Hirebagewadi,17,0,17,,116.47058823529412,22.81904627,15.758332,74.6480315,thermal,,,,2,0.0
Hirebevanura,14,0,14,,110.0,59.38012643999999,17.2378754,76.0539562,thermal,,,,2,0.0
Hiregonnagara,11,0,11,,110.0,115.2923652,15.802137899999998,75.956424,thermal,,,,1,0.0
Hireguntur,3,0,3,,117.33333333333333,149.8827525,14.2222342,76.2850859,thermal,,,,1,0.0
Hirehala,15,0,15,,110.0,113.9623228,15.789007,75.7621769,thermal,,,,3,0.0
Hirekerur,82,17,65,15.882352941176471,113.38461538461539,63.79127593,14.450368700000002,75.4063055,thermal,,,,4,0.0
