location_zone_key,outage_events_total,transformer_events_total,line_events_total,avg_nearest_ev_distance_km,avg_transformer_capacity_mva,avg_line_capacity_kv,lat,lon,outage_days,daily_outage_mean,daily_outage_p95,ev_service_gap_score,grid_reliability_stress_score,infra_capacity_pressure_score,priority_score_0_100,recommended_station_action
Nayakana Hatti,13,1,12,168.9266889,,104.5,14.467984099999999,76.5520614,10,1.3,2.549999999999999,100.0,11.489999999999995,55.13333333333333,57.8,add_incremental_charging_capacity
Srinivaspura,6,0,6,60.71934857,,117.33333333333333,13.3551323,78.2447431,3,2.0,2.9,100.0,12.08,54.233333333333334,57.79,add_incremental_charging_capacity
Karaya,10,0,10,50.64766833,,66.0,12.8809373,75.2422198,7,1.4285714285714286,2.6999999999999993,100.0,11.599999999999998,54.833333333333336,57.77,add_incremental_charging_capacity
Ujjini,25,0,25,156.126266,,66.0,14.7333205,76.2886344,19,1.3157894736842106,2.0,100.0,10.0,57.083333333333336,57.77,add_incremental_charging_capacity
Heggunje,10,0,10,55.47960448,,154.0,13.506124599999998,74.8370879,7,1.4285714285714286,2.6999999999999993,100.0,11.599999999999998,54.833333333333336,57.77,add_incremental_charging_capacity
Shiraguppi,24,1,23,49.6453447,,124.34782608695652,16.6224429,74.7267446,21,1.1428571428571428,2.0,100.0,10.17,56.78333333333334,57.76,add_incremental_charging_capacity
Talaguppa,12,0,12,47.44501284999999,,370.0,14.201788,74.9025331,9,1.3333333333333333,2.5999999999999996,100.0,11.36,55.13333333333333,57.76,add_incremental_charging_capacity
Hiregonnagara,11,0,11,115.2923652,,110.0,15.802137899999998,75.956424,8,1.375,2.6499999999999995,100.0,11.479999999999999,54.983333333333334,57.76,add_incremental_charging_capacity
Betageri,13,0,13,144.5366165,,110.0,15.219152,76.0376843,10,1.3,2.549999999999999,100.0,11.239999999999995,55.28333333333334,57.75,add_incremental_charging_capacity
Suzlon,26,1,25,142.2065315,,99.44,15.673783799999999,76.5281227,23,1.1304347826086956,1.8999999999999986,100.0,9.929999999999994,57.083333333333336,57.75,add_incremental_charging_capacity
Halagur,23,2,21,38.85234679,,66.0,12.4260522,77.2442946,21,1.0952380952380953,2.0,100.0,10.34,56.483333333333334,57.74,add_incremental_charging_capacity
Halavarti,3,0,3,165.9016364,,110.0,15.307070099999999,76.2147776,1,3.0,3.0,100.0,12.24,53.78333333333334,57.73,add_incremental_charging_capacity
Todalbagi,17,8,9,36.79225622,15.0,110.0,16.6291901,75.4283961,14,1.2142857142857142,2.049999999999999,100.0,11.559999999999995,54.68333333333334,57.72,add_incremental_charging_capacity
Pathapalya,23,0,23,66.16425103,,66.0,13.7558137,77.91881,20,1.15,2.0500000000000007,100.0,10.040000000000003,56.78333333333334,57.71,add_incremental_charging_capacity
Hanagodu,23,1,22,92.96469109,,66.0,12.2483813,76.1890592,20,1.15,2.0,100.0,10.09,56.63333333333333,57.69,add_incremental_charging_capacity
Machhe,32,24,8,17.07008925,19.130434782608695,110.0,15.7875291,74.466494,25,1.28,2.799999999999997,100.0,19.75999999999999,43.01818181818182,57.67,add_incremental_charging_capacity
Konkal,22,0,22,25.386715190000004,,115.0,16.7657886,77.3789272,19,1.1578947368421053,2.0,100.0,9.76,56.63333333333333,57.57,add_incremental_charging_capacity
Humnabad,19,3,16,98.10194745,,130.625,17.7614756,77.0994397,15,1.2666666666666666,2.0,100.0,10.27,55.733333333333334,57.53,add_incremental_charging_capacity
Huliyar,6,0,6,73.86116809,,146.66666666666666,13.581282199999999,76.5306877,4,1.5,2.6999999999999993,100.0,11.279999999999998,54.233333333333334,57.51,add_incremental_charging_capacity
UPCL,21,0,21,16.89778764,,280.0,13.160576599999999,74.8044899,14,1.5,2.0,100.0,9.68,56.483333333333334,57.51,add_incremental_charging_capacity
Kalamaranahalli,19,2,17,127.86322419999999,,93.17647058823529,14.1159357,76.7652949,14,1.3571428571428572,2.0,100.0,10.02,55.88333333333333,57.48,add_incremental_charging_capacity
Savanur,20,0,20,65.77189747,,115.5,14.9837295,75.3275091,17,1.1764705882352942,2.0,100.0,9.6,56.333333333333336,57.44,add_incremental_charging_capacity
Kundur,20,0,20,107.1496881,,89.1,14.2771895,75.7698354,17,1.1764705882352942,2.0,100.0,9.6,56.333333333333336,57.44,add_incremental_charging_capacity
Jambagi,41,0,41,64.84178964,,110.0,16.8323004,75.0031199,41,1.0,1.0,100.0,7.28,59.483333333333334,57.42,add_incremental_charging_capacity
Giriyapura,15,5,10,102.9264017,,66.0,14.8803342,75.7614259,13,1.1538461538461537,2.0,100.0,10.45,54.833333333333336,57.37,add_incremental_charging_capacity
Ankali,30,11,19,53.91340689,18.88888888888889,110.0,16.5350848,74.67416239999999,20,1.5,3.0500000000000007,100.0,17.35,45.20294117647059,57.37,add_incremental_charging_capacity
Koppa,18,1,17,32.52720013,,66.0,12.72003,76.950502,16,1.125,2.0,100.0,9.69,55.88333333333333,57.36,add_incremental_charging_capacity
Bhalki,9,1,8,129.3123647,,110.0,18.0299162,77.2044421,7,1.2857142857142858,2.3999999999999986,100.0,10.569999999999995,54.53333333333334,57.33,add_incremental_charging_capacity
Channapatna,18,0,18,18.56323427,,143.0,12.6510379,77.2055036,16,1.125,2.0,100.0,9.44,56.03333333333334,57.31,add_incremental_charging_capacity
Alabal,34,17,17,57.70358889,20.0,110.0,16.5860693,75.2284439,21,1.619047619047619,3.0,100.0,18.97,42.55,57.28,add_incremental_charging_capacity
Banavara,17,0,17,83.78137322,,116.47058823529412,13.4076786,76.1613578,13,1.3076923076923077,2.0,100.0,9.36,55.88333333333333,57.25,add_incremental_charging_capacity
Hirebagewadi,17,0,17,22.81904627,,116.47058823529412,15.758332,74.6480315,15,1.1333333333333333,2.0,100.0,9.36,55.88333333333333,57.25,add_incremental_charging_capacity
Ainapur,25,13,12,61.92393357,16.666666666666668,110.0,16.6621631,74.9059066,20,1.25,2.1000000000000014,100.0,13.650000000000006,49.8,57.23,add_incremental_charging_capacity
Gandasi,15,1,14,56.73146865,,110.0,13.1599546,76.3039765,11,1.3636363636363635,2.0,100.0,9.45,55.43333333333334,57.17,add_incremental_charging_capacity
LIS,37,0,37,101.2489033,,217.02702702702703,12.4986293,75.9875134,37,1.0,1.0,100.0,6.96,58.88333333333333,57.16,add_incremental_charging_capacity
Attigulipura,15,0,15,90.51348934,,86.53333333333333,11.8236378,77.0084179,13,1.1538461538461537,2.0,100.0,9.2,55.583333333333336,57.12,add_incremental_charging_capacity
Hirehala,15,0,15,113.9623228,,110.0,15.789007,75.7621769,12,1.25,2.0,100.0,9.2,55.583333333333336,57.12,add_incremental_charging_capacity
Kanakagiri,15,0,15,157.9019952,,110.0,15.5659108,76.4231238,9,1.6666666666666667,2.0,100.0,9.2,55.583333333333336,57.12,add_incremental_charging_capacity
